

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
              3      0.18E-02  0.16E+01  0.34E-04  0.96E+00
              4      0.18E-02  0.16E+01  0.34E-04  0.96E+00
              5      0.18E-02  0.15E+01  0.33E-04  0.97E+00
              6      0.18E-02  0.15E+01  0.33E-04  0.97E+00
              7      0.17E-02  0.15E+01  0.32E-04  0.97E+00
              8      0.17E-02  0.15E+01  0.32E-04  0.97E+00
              9      0.17E-02  0.15E+01  0.31E-04  0.97E+00
             10      0.17E-02  0.14E+01  0.31E-04  0.97E+00
             11      0.17E-02  0.14E+01  0.30E-04  0.97E+00
             12      0.16E-02  0.14E+01  0.30E-04  0.97E+00
             13      0.16E-02  0.14E+01  0.30E-04  0.97E+00
             14      0.16E-02  0.14E+01  0.29E-04  0.97E+00
             15      0.16E-02  0.13E+01  0.29E-04  0.97E+00
             16      0.15E-02  0.13E+01  0.29E-04  0.97E+00
             17      0.15E-02  0.13E+01  0.28E-04  0.97E+00
             18      0.15E-02  0.13E+01  0.28E-04  0.97E+00
             19      0.15E-02  0.13E+01  0.28E-04  0.97E+00
             20      0.15E-02  0.12E+01  0.27E-04  0.97E+00

     Power:  0.20917E+07


                         Increment number  10
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.16E-02  0.19E+01  0.25E-04  0.97E+00
              2      0.16E-02  0.14E+01  0.28E-04  0.97E+00
              3      0.16E-02  0.13E+01  0.27E-04  0.97E+00
              4      0.16E-02  0.13E+01  0.27E-04  0.97E+00
              5      0.15E-02  0.13E+01  0.26E-04  0.97E+00
              6      0.15E-02  0.13E+01  0.26E-04  0.97E+00
              7      0.15E-02  0.13E+01  0.26E-04  0.97E+00
              8      0.15E-02  0.12E+01  0.26E-04  0.97E+00
              9      0.15E-02  0.12E+01  0.26E-04  0.97E+00
             10      0.14E-02  0.12E+01  0.25E-04  0.97E+00
             11      0.14E-02  0.12E+01  0.25E-04  0.97E+00
             12      0.14E-02  0.12E+01  0.25E-04  0.97E+00
             13      0.14E-02  0.12E+01  0.25E-04  0.97E+00
             14      0.14E-02  0.11E+01  0.25E-04  0.97E+00
             15      0.14E-02  0.11E+01  0.24E-04  0.97E+00
             16      0.13E-02  0.11E+01  0.24E-04  0.97E+00
             17      0.13E-02  0.11E+01  0.24E-04  0.97E+00
             18      0.13E-02  0.11E+01  0.24E-04  0.97E+00
             19      0.13E-02  0.11E+01  0.24E-04  0.98E+00
             20      0.13E-02  0.11E+01  0.24E-04  0.98E+00

     Power:  0.23242E+07


                         Increment number  11
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.15E+01  0.22E-04  0.98E+00
              2      0.11E-02  0.85E+00  0.20E-04  0.98E+00
              3      0.10E-02  0.85E+00  0.18E-04  0.98E+00
              4      0.10E-02  0.83E+00  0.18E-04  0.98E+00
              5      0.10E-02  0.82E+00  0.18E-04  0.98E+00
              6      0.10E-02  0.81E+00  0.18E-04  0.98E+00
              7      0.99E-03  0.80E+00  0.18E-04  0.98E+00

     Power:  0.25568E+07


                         Increment number  12
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.77E-03  0.13E+01  0.17E-04  0.98E+00

     Power:  0.27894E+07


                         Increment number  13
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.66E-03  0.24E+01  0.13E-04  0.99E+00

     Power:  0.30220E+07


                         Increment number  14
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.73E-03  0.24E+01  0.11E-04  0.99E+00

     Power:  0.32546E+07


                         Increment number  15
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.93E-03  0.15E+01  0.12E-04  0.98E+00

     Power:  0.34873E+07


                         Increment number  16
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-02  0.12E+01  0.13E-04  0.98E+00
              2      0.12E-02  0.12E+01  0.17E-04  0.98E+00
