

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
             15      0.10E-02  0.47E-03  0.85E-04  0.98E+00

     Power:   63.148    


                         Increment number  12
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.50E-03  0.72E-04  0.98E+00
              2      0.10E-02  0.48E-03  0.67E-04  0.98E+00
              3      0.10E-02  0.48E-03  0.56E-04  0.98E+00
              4      0.10E-02  0.47E-03  0.53E-04  0.98E+00
              5      0.10E-02  0.47E-03  0.50E-04  0.98E+00
              6      0.10E-02  0.47E-03  0.48E-04  0.98E+00
              7      0.10E-02  0.47E-03  0.46E-04  0.98E+00
              8      0.10E-02  0.46E-03  0.44E-04  0.98E+00
              9      0.10E-02  0.46E-03  0.43E-04  0.98E+00
             10      0.10E-02  0.46E-03  0.42E-04  0.98E+00
             11      0.10E-02  0.46E-03  0.40E-04  0.98E+00
             12      0.10E-02  0.46E-03  0.39E-04  0.98E+00

     Power:   69.112    


                         Increment number  13
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.67E-03  0.36E-04  0.98E+00
              2      0.11E-02  0.51E-03  0.51E-04  0.98E+00
              3      0.11E-02  0.50E-03  0.48E-04  0.98E+00
              4      0.11E-02  0.50E-03  0.46E-04  0.98E+00
              5      0.11E-02  0.50E-03  0.45E-04  0.98E+00
              6      0.11E-02  0.49E-03  0.44E-04  0.98E+00
              7      0.11E-02  0.49E-03  0.42E-04  0.98E+00
              8      0.11E-02  0.49E-03  0.41E-04  0.98E+00
              9      0.11E-02  0.49E-03  0.40E-04  0.98E+00
             10      0.11E-02  0.49E-03  0.40E-04  0.98E+00
             11      0.11E-02  0.49E-03  0.39E-04  0.98E+00
             12      0.11E-02  0.49E-03  0.38E-04  0.98E+00
             13      0.11E-02  0.49E-03  0.38E-04  0.98E+00
             14      0.11E-02  0.49E-03  0.37E-04  0.98E+00
             15      0.11E-02  0.49E-03  0.37E-04  0.98E+00
             16      0.11E-02  0.48E-03  0.37E-04  0.98E+00
             17      0.11E-02  0.48E-03  0.36E-04  0.98E+00
             18      0.11E-02  0.48E-03  0.36E-04  0.98E+00
             19      0.11E-02  0.48E-03  0.36E-04  0.98E+00
             20      0.11E-02  0.48E-03  0.36E-04  0.98E+00

     Power:   75.074    


                         Increment number  14
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.68E-03  0.34E-04  0.98E+00
              2      0.11E-02  0.52E-03  0.44E-04  0.98E+00
              3      0.11E-02  0.52E-03  0.42E-04  0.98E+00
              4      0.11E-02  0.51E-03  0.41E-04  0.98E+00
              5      0.11E-02  0.51E-03  0.40E-04  0.98E+00
              6      0.11E-02  0.51E-03  0.39E-04  0.98E+00
              7      0.11E-02  0.51E-03  0.39E-04  0.98E+00
              8      0.11E-02  0.51E-03  0.38E-04  0.98E+00
              9      0.11E-02  0.51E-03  0.38E-04  0.98E+00
             10      0.11E-02  0.51E-03  0.37E-04  0.98E+00
             11      0.11E-02  0.51E-03  0.37E-04  0.98E+00
             12      0.11E-02  0.51E-03  0.37E-04  0.98E+00
             13      0.11E-02  0.51E-03  0.36E-04  0.98E+00
             14      0.11E-02  0.51E-03  0.36E-04  0.98E+00
             15      0.11E-02  0.51E-03  0.36E-04  0.98E+00
             16      0.11E-02  0.51E-03  0.36E-04  0.98E+00
             17      0.11E-02  0.51E-03  0.36E-04  0.98E+00
             18      0.11E-02  0.51E-03  0.36E-04  0.98E+00
             19      0.11E-02  0.50E-03  0.36E-04  0.98E+00
             20      0.11E-02  0.50E-03  0.36E-04  0.98E+00

     Power:   81.036    


                         Increment number  15
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.69E-03  0.34E-04  0.98E+00
              2      0.11E-02  0.53E-03  0.42E-04  0.98E+00
