""
"Test Method","MTS EM Tension.msm"
"Sample I. D.","DIC.mss"
"Specimen Number","7"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"
2392.527,231.000,0.794,879.315,0.016
2396.844,232.000,0.797,880.901,0.016
2404.628,233.000,0.801,883.762,0.016
2404.480,234.000,0.805,883.708,0.016
2405.985,235.000,0.808,884.261,0.016
2411.314,236.000,0.811,886.219,0.016
2415.421,237.000,0.815,887.729,0.016
2414.718,238.000,0.818,887.470,0.016
2416.692,239.000,0.821,888.196,0.016
2420.590,240.000,0.824,889.628,0.016
2419.282,241.000,0.828,889.148,0.016
2418.567,242.000,0.831,888.885,0.016
2421.934,243.000,0.834,890.123,0.016
2427.892,244.000,0.838,892.312,0.016
2427.350,245.000,0.841,892.113,0.017
2429.422,246.000,0.844,892.874,0.017
2433.937,247.000,0.847,894.534,0.017
2434.800,248.000,0.851,894.851,0.017
2436.083,249.000,0.854,895.323,0.017
2435.886,250.000,0.857,895.250,0.017
2442.571,251.000,0.861,897.707,0.017
2441.881,252.000,0.865,897.453,0.017
2444.705,253.000,0.867,898.491,0.017
2443.534,254.000,0.870,898.061,0.017
2451.083,255.000,0.874,900.835,0.017
2447.111,256.000,0.878,899.376,0.017
2447.826,257.000,0.881,899.638,0.017
2452.366,258.000,0.884,901.307,0.017
2453.155,259.000,0.888,901.597,0.017
2454.191,260.000,0.891,901.978,0.018
2455.030,261.000,0.894,902.286,0.018
2460.396,262.000,0.898,904.258,0.018
2459.064,263.000,0.902,903.769,0.018
2460.038,264.000,0.904,904.127,0.018
2461.346,265.000,0.907,904.607,0.018
2462.727,266.000,0.911,905.115,0.018
2461.272,267.000,0.914,904.580,0.018
2462.061,268.000,0.917,904.870,0.018
2465.663,269.000,0.921,906.194,0.018
2467.686,270.000,0.925,906.938,0.018
2465.318,271.000,0.928,906.067,0.018
2467.267,272.000,0.930,906.783,0.018
2470.671,273.000,0.934,908.035,0.018
2470.462,274.000,0.938,907.958,0.018
2471.412,275.000,0.941,908.307,0.019
2470.412,276.000,0.944,907.939,0.019
2476.074,277.000,0.948,910.020,0.019
2469.018,278.000,0.951,907.427,0.019
2471.387,279.000,0.954,908.298,0.019
2472.546,280.000,0.957,908.724,0.019
2459.878,281.000,0.962,904.068,0.019
2452.292,282.000,0.964,901.280,0.019
2409.870,283.000,0.967,885.689,0.019
2323.141,284.000,0.971,853.813,0.019
2118.288,285.000,0.975,778.525,0.019
2037.109,286.000,0.978,748.689,0.019
2027.191,287.000,0.981,745.044,0.019
2011.599,288.000,0.985,739.314,0.019
1967.562,289.000,0.988,723.129,0.019
1927.299,290.000,0.991,708.332,0.020
1917.073,291.000,0.994,704.573,0.020
1891.083,292.000,0.998,695.021,0.020
1817.786,293.000,1.001,668.083,0.020
1731.241,294.000,1.004,636.275,0.020
1631.300,295.000,1.008,599.544,0.020
-102.655,295.200,1.009,-37.728,0.020


