""
"Test Method","MTS EM Tension.msm"
"Sample I. D.","DIC.mss"
"Specimen Number","6"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"
1050.404,84.000,0.192,314.643,0.004
1064.861,85.000,0.195,318.974,0.004
1082.673,86.000,0.199,324.309,0.004
1088.261,87.000,0.202,325.983,0.004
1101.473,88.000,0.205,329.940,0.004
1114.005,89.000,0.208,333.694,0.004
1124.811,90.000,0.212,336.931,0.004
1131.768,91.000,0.215,339.015,0.004
1140.206,92.000,0.218,341.543,0.004
1153.873,93.000,0.222,345.637,0.004
1160.583,94.000,0.225,347.647,0.004
1167.911,95.000,0.228,349.841,0.004
1176.545,96.000,0.231,352.428,0.005
1191.891,97.000,0.235,357.025,0.005
1196.430,98.000,0.238,358.384,0.005
1203.782,99.000,0.241,360.586,0.005
1214.711,100.000,0.245,363.860,0.005
1225.467,101.000,0.249,367.082,0.005
1231.240,102.000,0.251,368.812,0.005
1237.544,103.000,0.254,370.700,0.005
1251.914,104.000,0.258,375.004,0.005
1258.057,105.000,0.262,376.844,0.005
1265.237,106.000,0.265,378.995,0.005
1272.835,107.000,0.268,381.271,0.005
1287.588,108.000,0.272,385.690,0.005
1289.858,109.000,0.275,386.370,0.005
1296.716,110.000,0.278,388.425,0.005
1310.261,111.000,0.281,392.482,0.006
1317.205,112.000,0.286,394.562,0.006
1322.917,113.000,0.288,396.273,0.006
1328.813,114.000,0.291,398.039,0.006
1342.900,115.000,0.295,402.259,0.006
1348.648,116.000,0.299,403.980,0.006
1355.063,117.000,0.301,405.902,0.006
1363.549,118.000,0.304,408.444,0.006
1377.908,119.000,0.309,412.745,0.006
1383.187,120.000,0.312,414.326,0.006
1389.157,121.000,0.314,416.115,0.006
1403.294,122.000,0.318,420.349,0.006
1412.151,123.000,0.322,423.002,0.006
1418.244,124.000,0.325,424.828,0.006
1426.706,125.000,0.328,427.362,0.006
1442.964,126.000,0.332,432.232,0.007
1450.810,127.000,0.335,434.582,0.007
1460.579,128.000,0.338,437.509,0.007
1472.495,129.000,0.341,441.078,0.007
1490.283,130.000,0.345,446.406,0.007
1496.771,131.000,0.348,448.350,0.007
1507.972,132.000,0.351,451.705,0.007
1522.577,133.000,0.355,456.080,0.007
1537.700,134.000,0.359,460.610,0.007
1546.260,135.000,0.362,463.174,0.007
1555.907,136.000,0.364,466.064,0.007
1574.804,137.000,0.369,471.724,0.007
1582.255,138.000,0.372,473.956,0.007
1594.529,139.000,0.375,477.633,0.007
1608.283,140.000,0.378,481.753,0.007
1627.575,141.000,0.382,487.531,0.008
1640.947,142.000,0.385,491.537,0.008
1652.431,143.000,0.388,494.977,0.008
1672.081,144.000,0.391,500.863,0.008
1690.091,145.000,0.395,506.258,0.008
1700.699,146.000,0.398,509.435,0.008
1713.059,147.000,0.401,513.138,0.008
1736.151,148.000,0.405,520.055,0.008
1748.239,149.000,0.408,523.676,0.008
1762.462,150.000,0.411,527.936,0.008
1776.364,151.000,0.414,532.100,0.008
1799.061,152.000,0.419,538.899,0.008
1809.842,153.000,0.422,542.129,0.008
1822.523,154.000,0.425,545.927,0.008
1843.888,155.000,0.428,552.327,0.008
1860.121,156.000,0.432,557.189,0.009
1869.225,157.000,0.435,559.916,0.009
1883.299,158.000,0.438,564.132,0.009
1904.084,159.000,0.442,570.358,0.009
1914.643,160.000,0.445,573.521,0.009
1923.303,161.000,0.448,576.115,0.009
1939.437,162.000,0.451,580.948,0.009
1959.396,163.000,0.455,586.927,0.009
1965.539,164.000,0.458,588.767,0.009
1976.961,165.000,0.461,592.188,0.009
1994.527,166.000,0.465,597.450,0.009
2010.267,167.000,0.468,602.165,0.009
2017.619,168.000,0.471,604.367,0.009
2029.411,169.000,0.474,607.899,0.009
2048.605,170.000,0.478,613.649,0.009
2058.202,171.000,0.481,616.524,0.009
2069.378,172.000,0.484,619.871,0.010
2080.973,173.000,0.487,623.344,0.010
2102.992,174.000,0.492,629.940,0.010
2109.788,175.000,0.495,631.976,0.010
2119.311,176.000,0.498,634.828,0.010
2138.604,177.000,0.501,640.607,0.010
2152.197,178.000,0.505,644.679,0.010
2159.401,179.000,0.508,646.837,0.010
2170.577,180.000,0.511,650.185,0.010
2191.362,181.000,0.515,656.411,0.010
2198.134,182.000,0.518,658.439,0.010
2206.720,183.000,0.521,661.011,0.010
2220.659,184.000,0.524,665.186,0.010
2239.926,185.000,0.529,670.958,0.010
2245.527,186.000,0.531,672.636,0.010
2253.619,187.000,0.534,675.059,0.011
2271.949,188.000,0.538,680.550,0.011
2283.495,189.000,0.542,684.009,0.011
2291.488,190.000,0.545,686.403,0.011
2299.136,191.000,0.547,688.694,0.011
2320.402,192.000,0.551,695.064,0.011
2326.052,193.000,0.555,696.756,0.011
2335.402,194.000,0.558,699.557,0.011
2347.466,195.000,0.561,703.171,0.011
2367.178,196.000,0.565,709.076,0.011
2372.729,197.000,0.568,710.738,0.011
2379.686,198.000,0.571,712.822,0.011
2398.411,199.000,0.575,718.431,0.011
2409.130,200.000,0.578,721.642,0.011
2414.472,201.000,0.581,723.242,0.011
2425.746,202.000,0.584,726.619,0.012
2446.247,203.000,0.589,732.760,0.012
2452.267,204.000,0.592,734.564,0.012
2461.790,205.000,0.595,737.416,0.012
2474.002,206.000,0.598,741.074,0.012
2492.209,207.000,0.602,746.528,0.012
2496.822,208.000,0.605,747.910,0.012
2504.347,209.000,0.608,750.164,0.012
2520.728,210.000,0.611,755.071,0.012
2532.780,211.000,0.615,758.681,0.012
2538.368,212.000,0.618,760.355,0.012
2548.557,213.000,0.621,763.407,0.012
2567.307,214.000,0.625,769.023,0.012
2573.721,215.000,0.628,770.944,0.012
2581.838,216.000,0.631,773.376,0.012
2593.753,217.000,0.634,776.945,0.012
2610.875,218.000,0.638,782.074,0.013
2615.365,219.000,0.641,783.419,0.013
2623.321,220.000,0.644,785.802,0.013
2639.752,221.000,0.648,790.724,0.013
2648.868,222.000,0.652,793.454,0.013
2656.195,223.000,0.655,795.649,0.013
2664.003,224.000,0.658,797.988,0.013
2682.420,225.000,0.662,803.505,0.013
2687.749,226.000,0.665,805.101,0.013
2694.755,227.000,0.668,807.200,0.013
2706.622,228.000,0.671,810.754,0.013
2721.178,229.000,0.675,815.114,0.013
2725.680,230.000,0.678,816.463,0.013
2733.661,231.000,0.681,818.854,0.013
2747.797,232.000,0.685,823.088,0.013
2756.728,233.000,0.688,825.763,0.014
2762.896,234.000,0.691,827.611,0.014
2770.248,235.000,0.694,829.813,0.014
2788.455,236.000,0.698,835.267,0.014
2790.182,237.000,0.701,835.784,0.014
2796.251,238.000,0.704,837.602,0.014
2807.303,239.000,0.708,840.913,0.014
2820.921,240.000,0.712,844.992,0.014
2822.155,241.000,0.715,845.361,0.014
2828.742,242.000,0.718,847.335,0.014
2840.954,243.000,0.721,850.993,0.014
2843.791,244.000,0.725,851.842,0.014
2849.465,245.000,0.728,853.542,0.014
2855.065,246.000,0.731,855.220,0.014
2867.524,247.000,0.735,858.952,0.014
2866.488,248.000,0.738,858.641,0.015
2870.682,249.000,0.741,859.898,0.015
2878.860,250.000,0.745,862.347,0.015
2884.707,251.000,0.749,864.099,0.015
2885.558,252.000,0.751,864.354,0.015
2890.739,253.000,0.754,865.906,0.015
2899.744,254.000,0.758,868.603,0.015
2901.890,255.000,0.762,869.246,0.015
2906.405,256.000,0.764,870.598,0.015
2910.723,257.000,0.767,871.891,0.015
2920.665,258.000,0.772,874.870,0.015
2919.370,259.000,0.775,874.482,0.015
2922.589,260.000,0.778,875.446,0.015
2930.607,261.000,0.781,877.848,0.015
2934.554,262.000,0.785,879.030,0.015
2935.344,263.000,0.788,879.267,0.016
2936.997,264.000,0.791,879.762,0.016
2945.459,265.000,0.795,882.297,0.016
2946.544,266.000,0.798,882.622,0.016
2948.419,267.000,0.801,883.183,0.016
2952.811,268.000,0.804,884.499,0.016
2961.396,269.000,0.809,887.071,0.016
2960.089,270.000,0.811,886.679,0.016
2962.679,271.000,0.814,887.455,0.016
2971.709,272.000,0.818,890.160,0.016
2973.534,273.000,0.822,890.706,0.016
2974.546,274.000,0.825,891.009,0.016
2976.470,275.000,0.827,891.586,0.016
2986.930,276.000,0.831,894.719,0.016
2985.327,277.000,0.835,894.239,0.016
2987.202,278.000,0.838,894.800,0.016
2991.618,279.000,0.841,896.123,0.017
2999.438,280.000,0.845,898.466,0.017
2997.021,281.000,0.848,897.742,0.017
3001.412,282.000,0.851,899.057,0.017
3007.777,283.000,0.854,900.964,0.017
3009.085,284.000,0.858,901.355,0.017
3009.652,285.000,0.861,901.525,0.017
3012.082,286.000,0.864,902.253,0.017
3019.594,287.000,0.868,904.503,0.017
3017.966,288.000,0.872,904.016,0.017
3022.444,289.000,0.875,905.357,0.017
3025.713,290.000,0.878,906.336,0.017
3030.721,291.000,0.882,907.836,0.017
3028.574,292.000,0.885,907.193,0.017
3030.079,293.000,0.888,907.644,0.017
3036.099,294.000,0.891,909.447,0.018
3037.653,295.000,0.895,909.913,0.018
3037.345,296.000,0.898,909.821,0.018
3040.416,297.000,0.901,910.741,0.018
3047.349,298.000,0.905,912.817,0.018
3044.845,299.000,0.908,912.067,0.018
3046.436,300.000,0.911,912.544,0.018
3051.346,301.000,0.914,914.014,0.018
3057.341,302.000,0.918,915.810,0.018
3055.268,303.000,0.921,915.189,0.018
3055.712,304.000,0.924,915.322,0.018
3064.150,305.000,0.928,917.850,0.018
3064.791,306.000,0.932,918.042,0.018
3065.284,307.000,0.934,918.190,0.018
3066.456,308.000,0.937,918.541,0.018
3073.204,309.000,0.941,920.562,0.019
3071.403,310.000,0.945,920.022,0.019
3072.599,311.000,0.948,920.381,0.019
3077.398,312.000,0.951,921.818,0.019
3079.988,313.000,0.955,922.594,0.019
3077.793,314.000,0.958,921.936,0.019
3080.149,315.000,0.961,922.642,0.019
3087.796,316.000,0.965,924.933,0.019
3085.527,317.000,0.968,924.253,0.019
3087.044,318.000,0.971,924.708,0.019
3088.870,319.000,0.974,925.255,0.019
3095.901,320.000,0.978,927.361,0.019
3091.781,321.000,0.981,926.127,0.019
3094.174,322.000,0.984,926.843,0.019
3096.838,323.000,0.987,927.641,0.019
3103.154,324.000,0.991,929.533,0.020
3098.491,325.000,0.994,928.137,0.020
3100.971,326.000,0.997,928.879,0.020
3108.113,327.000,1.001,931.019,0.020
3106.263,328.000,1.005,930.464,0.020
3107.965,329.000,1.008,930.974,0.020
3108.508,330.000,1.011,931.137,0.020
3114.577,331.000,1.015,932.955,0.020
3111.739,332.000,1.018,932.105,0.020
3113.861,333.000,1.021,932.741,0.020
3118.326,334.000,1.025,934.078,0.020
3119.535,335.000,1.029,934.440,0.020
3118.647,336.000,1.031,934.174,0.020
3119.955,337.000,1.034,934.566,0.020
3127.553,338.000,1.038,936.842,0.020
3124.210,339.000,1.042,935.841,0.021
3126.764,340.000,1.044,936.606,0.021
3127.072,341.000,1.047,936.698,0.021
3134.140,342.000,1.051,938.815,0.021
3130.390,343.000,1.055,937.692,0.021
3131.797,344.000,1.057,938.113,0.021
3138.347,345.000,1.061,940.075,0.021
3139.716,346.000,1.065,940.485,0.021
3136.657,347.000,1.068,939.569,0.021
3138.507,348.000,1.071,940.123,0.021
3144.971,349.000,1.075,942.059,0.021
3140.875,350.000,1.078,940.833,0.021
3142.257,351.000,1.081,941.246,0.021
3143.589,352.000,1.084,941.645,0.021
3151.089,353.000,1.088,943.892,0.021
3146.599,354.000,1.091,942.547,0.021
3147.561,355.000,1.094,942.835,0.022
3153.260,356.000,1.098,944.542,0.022
3154.839,357.000,1.102,945.015,0.022
3151.607,358.000,1.105,944.047,0.022
3153.260,359.000,1.107,944.542,0.022
3160.624,360.000,1.111,946.748,0.022
3156.492,361.000,1.115,945.510,0.022
3158.120,362.000,1.118,945.998,0.022
3159.650,363.000,1.121,946.456,0.022
3165.472,364.000,1.125,948.200,0.022
3162.709,365.000,1.128,947.373,0.022
3162.660,366.000,1.131,947.358,0.022
3167.742,367.000,1.134,948.880,0.022
3171.492,368.000,1.138,950.004,0.022
3168.383,369.000,1.141,949.072,0.022
3170.456,370.000,1.144,949.693,0.023
3175.957,371.000,1.148,951.341,0.023
3174.428,372.000,1.151,950.883,0.023
3175.032,373.000,1.154,951.064,0.023
3176.697,374.000,1.157,951.563,0.023
3183.704,375.000,1.162,953.662,0.023
3177.314,376.000,1.165,951.748,0.023
3181.298,377.000,1.168,952.941,0.023
3186.652,378.000,1.171,954.545,0.023
3185.406,379.000,1.175,954.171,0.023
3184.419,380.000,1.178,953.876,0.023
3184.666,381.000,1.181,953.950,0.023
3191.771,382.000,1.185,956.078,0.023
3188.811,383.000,1.188,955.191,0.023
3189.600,384.000,1.191,955.428,0.023
3190.612,385.000,1.194,955.731,0.024
3195.570,386.000,1.198,957.216,0.024
3191.364,387.000,1.201,955.956,0.024
3191.808,388.000,1.204,956.089,0.024
3197.421,389.000,1.207,957.770,0.024
3199.863,390.000,1.212,958.502,0.024
3196.755,391.000,1.214,957.571,0.024
3198.432,392.000,1.217,958.073,0.024
3205.562,393.000,1.221,960.209,0.024
3200.566,394.000,1.225,958.713,0.024
3200.961,395.000,1.228,958.831,0.024
3204.427,396.000,1.231,959.869,0.024
3208.547,397.000,1.235,961.103,0.024
3204.785,398.000,1.238,959.976,0.024
3205.870,399.000,1.241,960.301,0.024
3211.310,400.000,1.245,961.931,0.024
3210.348,401.000,1.248,961.643,0.025
3209.078,402.000,1.251,961.262,0.025
3210.077,403.000,1.254,961.561,0.025
3217.749,404.000,1.258,963.860,0.025
3212.840,405.000,1.261,962.389,0.025
3212.519,406.000,1.264,962.293,0.025
3217.799,407.000,1.267,963.875,0.025
3221.401,408.000,1.272,964.953,0.025
3217.453,409.000,1.274,963.771,0.025
3217.910,410.000,1.277,963.908,0.025
3224.040,411.000,1.281,965.744,0.025
3223.917,412.000,1.285,965.707,0.025
3221.697,413.000,1.288,965.042,0.025
3222.289,414.000,1.291,965.220,0.025
3229.887,415.000,1.295,967.496,0.025
3223.572,416.000,1.298,965.604,0.026
3225.743,417.000,1.301,966.254,0.026
3229.690,418.000,1.304,967.436,0.026
3233.662,419.000,1.308,968.626,0.026
3228.074,420.000,1.311,966.952,0.026
3231.096,421.000,1.314,967.858,0.026
3235.192,422.000,1.318,969.084,0.026
3234.254,423.000,1.322,968.804,0.026
3231.294,424.000,1.325,967.917,0.026
3232.182,425.000,1.327,968.183,0.026
3239.534,426.000,1.331,970.385,0.026
3233.847,427.000,1.335,968.682,0.026
3235.734,428.000,1.338,969.247,0.026
3238.411,429.000,1.341,970.049,0.026
3242.124,430.000,1.345,971.161,0.026
3237.708,431.000,1.348,969.838,0.027
3239.213,432.000,1.351,970.289,0.027
3245.627,433.000,1.354,972.210,0.027
3242.099,434.000,1.358,971.154,0.027
3241.520,435.000,1.361,970.980,0.027
3243.012,436.000,1.364,971.427,0.027
3250.290,437.000,1.368,973.607,0.027
3244.147,438.000,1.371,971.767,0.027
3245.899,439.000,1.374,972.292,0.027
3248.933,440.000,1.377,973.201,0.027
3251.807,441.000,1.382,974.062,0.027
3247.268,442.000,1.385,972.702,0.027
3247.601,443.000,1.388,972.802,0.027
3253.855,444.000,1.391,974.675,0.027
3249.895,445.000,1.395,973.489,0.027
3250.216,446.000,1.398,973.585,0.028
3250.080,447.000,1.401,973.544,0.028
3253.867,448.000,1.405,974.679,0.028
3242.630,449.000,1.408,971.313,0.028
3229.690,450.000,1.411,967.436,0.028
3196.607,451.000,1.414,957.527,0.028
3191.006,452.000,1.418,955.849,0.028
2992.654,453.000,1.421,896.434,0.028
2889.876,454.000,1.424,865.647,0.028
2878.503,455.000,1.428,862.240,0.028
2852.475,456.000,1.432,854.444,0.028
2830.222,457.000,1.434,847.778,0.028
2806.514,458.000,1.437,840.676,0.028
2705.832,459.000,1.441,810.518,0.028
2533.446,460.000,1.445,758.880,0.028
-245.819,460.290,1.446,-73.634,0.028


