""
"Test Method","MTS EM Tension.msm"
"Sample I. D.","DIC.mss"
"Specimen Number","2"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"
750.803,74.000,0.115,251.956,0.002
755.614,75.000,0.117,253.570,0.002
762.238,76.000,0.121,255.793,0.002
769.306,77.000,0.125,258.165,0.002
771.329,78.000,0.128,258.844,0.003
776.313,79.000,0.131,260.516,0.003
786.255,80.000,0.134,263.853,0.003
789.117,81.000,0.138,264.813,0.003
793.002,82.000,0.141,266.117,0.003
798.442,83.000,0.144,267.943,0.003
808.212,84.000,0.148,271.221,0.003
811.098,85.000,0.151,272.190,0.003
814.750,86.000,0.154,273.415,0.003
820.794,87.000,0.157,275.443,0.003
830.095,88.000,0.161,278.565,0.003
832.069,89.000,0.164,279.227,0.003
837.792,90.000,0.167,281.148,0.003
846.883,91.000,0.171,284.199,0.003
852.447,92.000,0.175,286.065,0.003
857.677,93.000,0.177,287.821,0.003
861.624,94.000,0.180,289.145,0.004
871.912,95.000,0.185,292.598,0.004
873.010,96.000,0.188,292.966,0.004
878.264,97.000,0.191,294.729,0.004
886.517,98.000,0.194,297.499,0.004
893.745,99.000,0.198,299.925,0.004
895.275,100.000,0.201,300.438,0.004
900.061,101.000,0.204,302.044,0.004
909.399,102.000,0.207,305.178,0.004
914.296,103.000,0.211,306.821,0.004
918.515,104.000,0.214,308.237,0.004
923.572,105.000,0.217,309.934,0.004
933.897,106.000,0.221,313.399,0.004
937.190,107.000,0.224,314.504,0.004
943.481,108.000,0.227,316.615,0.004
951.376,109.000,0.230,319.264,0.005
959.443,110.000,0.235,321.972,0.005
963.021,111.000,0.237,323.172,0.005
967.301,112.000,0.240,324.609,0.005
978.440,113.000,0.244,328.347,0.005
983.867,114.000,0.248,330.168,0.005
988.530,115.000,0.251,331.733,0.005
994.426,116.000,0.254,333.711,0.005
1006.170,117.000,0.258,337.652,0.005
1008.809,118.000,0.261,338.538,0.005
1013.744,119.000,0.264,340.194,0.005
1023.612,120.000,0.267,343.505,0.005
1032.691,121.000,0.271,346.552,0.005
1036.367,122.000,0.274,347.786,0.005
1041.843,123.000,0.277,349.624,0.005
1053.858,124.000,0.281,353.656,0.006
1059.014,125.000,0.285,355.386,0.006
1064.713,126.000,0.287,357.298,0.006
1070.782,127.000,0.290,359.335,0.006
1086.177,128.000,0.294,364.501,0.006
1092.788,129.000,0.297,366.720,0.006
1101.793,130.000,0.300,369.742,0.006
1113.882,131.000,0.303,373.798,0.006
1127.414,132.000,0.308,378.339,0.006
1132.952,133.000,0.311,380.198,0.006
1142.179,134.000,0.314,383.294,0.006
1156.735,135.000,0.317,388.179,0.006
1166.764,136.000,0.321,391.545,0.006
1177.409,137.000,0.324,395.117,0.006
1192.594,138.000,0.327,400.213,0.006
1211.454,139.000,0.331,406.542,0.007
1222.754,140.000,0.334,410.334,0.007
1235.952,141.000,0.337,414.763,0.007
1252.605,142.000,0.341,420.351,0.007
1271.355,143.000,0.345,426.643,0.007
1282.185,144.000,0.347,430.278,0.007
1294.447,145.000,0.350,434.393,0.007
1315.589,146.000,0.354,441.488,0.007
1327.900,147.000,0.358,445.619,0.007
1339.569,148.000,0.361,449.535,0.007
1351.547,149.000,0.364,453.554,0.007
1370.309,150.000,0.368,459.851,0.007
1379.474,151.000,0.371,462.926,0.007
1389.873,152.000,0.374,466.416,0.007
1403.997,153.000,0.377,471.156,0.007
1420.958,154.000,0.381,476.848,0.008
1425.793,155.000,0.384,478.470,0.008
1437.216,156.000,0.387,482.303,0.008
1454.152,157.000,0.391,487.987,0.008
1464.835,158.000,0.394,491.572,0.008
1474.469,159.000,0.397,494.805,0.008
1484.016,160.000,0.400,498.009,0.008
1501.853,161.000,0.405,503.995,0.008
1508.539,162.000,0.408,506.238,0.008
1516.631,163.000,0.411,508.954,0.008
1531.643,164.000,0.414,513.991,0.008
1544.756,165.000,0.418,518.392,0.008
1550.380,166.000,0.421,520.279,0.008
1558.546,167.000,0.424,523.020,0.008
1577.148,168.000,0.428,529.262,0.008
1584.821,169.000,0.431,531.837,0.008
1592.691,170.000,0.434,534.478,0.009
1603.941,171.000,0.437,538.253,0.009
1620.371,172.000,0.441,543.767,0.009
1624.763,173.000,0.444,545.241,0.009
1635.075,174.000,0.447,548.701,0.009
1646.226,175.000,0.450,552.443,0.009
1661.941,176.000,0.454,557.717,0.009
1666.727,177.000,0.457,559.323,0.009
1675.190,178.000,0.460,562.163,0.009
1692.607,179.000,0.464,568.008,0.009
1700.946,180.000,0.468,570.806,0.009
1706.891,181.000,0.471,572.802,0.009
1717.969,182.000,0.474,576.519,0.009
1735.608,183.000,0.478,582.438,0.009
1740.369,184.000,0.481,584.036,0.009
1749.374,185.000,0.484,587.058,0.010
1762.993,186.000,0.487,591.628,0.010
1774.933,187.000,0.491,595.635,0.010
1782.149,188.000,0.494,598.057,0.010
1788.749,189.000,0.497,600.271,0.010
1805.846,190.000,0.501,606.009,0.010
1812.901,191.000,0.504,608.377,0.010
1819.710,192.000,0.507,610.662,0.010
1828.000,193.000,0.510,613.443,0.010
1847.120,194.000,0.514,619.860,0.010
1848.995,195.000,0.517,620.489,0.010
1856.778,196.000,0.520,623.101,0.010
1869.101,197.000,0.524,627.236,0.010
1883.361,198.000,0.528,632.021,0.010
1888.788,199.000,0.531,633.843,0.010
1895.400,200.000,0.533,636.062,0.010
1912.522,201.000,0.537,641.807,0.011
1920.934,202.000,0.541,644.630,0.011
1927.373,203.000,0.544,646.791,0.011
1937.118,204.000,0.547,650.062,0.011
1955.128,205.000,0.551,656.105,0.011
1958.138,206.000,0.554,657.115,0.011
1965.169,207.000,0.557,659.475,0.011
1980.021,208.000,0.561,664.459,0.011
1992.159,209.000,0.565,668.532,0.011
1996.723,210.000,0.567,670.064,0.011
2005.653,211.000,0.570,673.061,0.011
2023.096,212.000,0.574,678.914,0.011
2029.362,213.000,0.578,681.017,0.011
2037.281,214.000,0.581,683.674,0.011
2046.582,215.000,0.583,686.796,0.011
2064.444,216.000,0.588,692.790,0.012
2069.008,217.000,0.591,694.321,0.012
2075.052,218.000,0.593,696.350,0.012
2088.781,219.000,0.597,700.957,0.012
2101.351,220.000,0.601,705.175,0.012
2105.767,221.000,0.604,706.657,0.012
2113.736,222.000,0.607,709.331,0.012
2131.893,223.000,0.611,715.424,0.012
2136.371,224.000,0.614,716.927,0.012
2143.945,225.000,0.617,719.469,0.012
2153.283,226.000,0.620,722.602,0.012
2169.985,227.000,0.625,728.207,0.012
2173.069,228.000,0.628,729.242,0.012
2179.236,229.000,0.630,731.312,0.012
2194.582,230.000,0.634,736.462,0.012
2203.401,231.000,0.638,739.421,0.013
2209.162,232.000,0.641,741.354,0.013
2217.834,233.000,0.644,744.264,0.013
2234.449,234.000,0.648,749.840,0.013
2239.680,235.000,0.651,751.596,0.013
2248.068,236.000,0.654,754.410,0.013
2257.369,237.000,0.657,757.532,0.013
2273.898,238.000,0.661,763.079,0.013
2277.944,239.000,0.664,764.436,0.013
2286.899,240.000,0.667,767.442,0.013
2303.059,241.000,0.670,772.864,0.013
2313.001,242.000,0.674,776.201,0.013
2320.772,243.000,0.677,778.809,0.013
2329.888,244.000,0.680,781.868,0.013
2349.242,245.000,0.684,788.363,0.013
2356.495,246.000,0.687,790.797,0.014
2364.538,247.000,0.690,793.496,0.014
2376.010,248.000,0.694,797.346,0.014
2393.600,249.000,0.698,803.248,0.014
2396.931,250.000,0.701,804.366,0.014
2406.922,251.000,0.704,807.719,0.014
2421.675,252.000,0.707,812.670,0.014
2433.789,253.000,0.711,816.735,0.014
2441.535,254.000,0.714,819.335,0.014
2447.950,255.000,0.717,821.487,0.014
2467.563,256.000,0.721,828.069,0.014
2474.125,257.000,0.724,830.271,0.014
2482.143,258.000,0.727,832.962,0.014
2492.406,259.000,0.730,836.406,0.014
2511.205,260.000,0.734,842.715,0.014
2515.301,261.000,0.737,844.089,0.015
2523.491,262.000,0.740,846.838,0.015
2539.355,263.000,0.744,852.161,0.015
2551.431,264.000,0.748,856.214,0.015
2556.488,265.000,0.750,857.911,0.015
2565.049,266.000,0.753,860.784,0.015
2584.897,267.000,0.757,867.444,0.015
2591.508,268.000,0.761,869.663,0.015
2599.748,269.000,0.764,872.428,0.015
2612.034,270.000,0.767,876.551,0.015
2627.182,271.000,0.771,881.634,0.015
2631.253,272.000,0.774,883.000,0.015
2639.789,273.000,0.777,885.865,0.015
2655.036,274.000,0.781,890.981,0.015
2663.966,275.000,0.784,893.978,0.015
2669.419,276.000,0.787,895.808,0.015
2677.436,277.000,0.790,898.499,0.016
2696.026,278.000,0.794,904.737,0.016
2700.676,279.000,0.797,906.298,0.016
2707.091,280.000,0.800,908.450,0.016
2717.822,281.000,0.803,912.052,0.016
2731.391,282.000,0.808,916.605,0.016
2734.747,283.000,0.810,917.731,0.016
2740.519,284.000,0.813,919.668,0.016
2754.656,285.000,0.817,924.412,0.016
2759.380,286.000,0.821,925.998,0.016
2763.463,287.000,0.824,927.368,0.016
2769.322,288.000,0.827,929.334,0.016
2780.856,289.000,0.831,933.204,0.016
2781.843,290.000,0.834,933.536,0.016
2787.233,291.000,0.837,935.345,0.016
2795.165,292.000,0.840,938.006,0.017
2800.543,293.000,0.844,939.811,0.017
2800.642,294.000,0.847,939.844,0.017
2804.663,295.000,0.850,941.194,0.017
2813.224,296.000,0.854,944.067,0.017
2813.027,297.000,0.858,944.000,0.017
2816.246,298.000,0.861,945.081,0.017
2820.156,299.000,0.863,946.393,0.017
2826.990,300.000,0.868,948.686,0.017
2826.349,301.000,0.871,948.471,0.017
2828.396,302.000,0.874,949.158,0.017
2836.020,303.000,0.877,951.716,0.017
2837.426,304.000,0.881,952.188,0.017
2838.043,305.000,0.884,952.395,0.017
2840.534,306.000,0.887,953.231,0.017
2847.368,307.000,0.890,955.525,0.018
2847.615,308.000,0.894,955.608,0.018
2849.268,309.000,0.897,956.162,0.018
2852.796,310.000,0.900,957.346,0.018
2857.656,311.000,0.904,958.977,0.018
2855.806,312.000,0.907,958.356,0.018
2857.927,313.000,0.910,959.068,0.018
2863.268,314.000,0.914,960.861,0.018
2865.131,315.000,0.918,961.486,0.018
2864.712,316.000,0.921,961.345,0.018
2867.105,317.000,0.924,962.148,0.018
2873.507,318.000,0.927,964.296,0.018
2871.731,319.000,0.931,963.700,0.018
2874.013,320.000,0.934,964.466,0.018
2876.319,321.000,0.937,965.240,0.018
2881.044,322.000,0.941,966.826,0.019
2878.441,323.000,0.944,965.952,0.019
2881.019,324.000,0.947,966.817,0.019
2885.731,325.000,0.950,968.399,0.019
2887.705,326.000,0.954,969.061,0.019
2886.693,327.000,0.957,968.722,0.019
2888.383,328.000,0.960,969.289,0.019
2895.649,329.000,0.964,971.727,0.019
2893.145,330.000,0.967,970.887,0.019
2894.785,331.000,0.970,971.437,0.019
2895.624,332.000,0.973,971.719,0.019
2902.557,333.000,0.978,974.045,0.019
2900.102,334.000,0.981,973.221,0.019
2901.570,335.000,0.984,973.714,0.019
2907.441,336.000,0.987,975.684,0.019
2907.811,337.000,0.991,975.808,0.020
2908.231,338.000,0.994,975.949,0.020
2907.910,339.000,0.997,975.842,0.020
2914.374,340.000,1.001,978.011,0.020
2911.894,341.000,1.004,977.179,0.020
2912.079,342.000,1.007,977.241,0.020
2916.570,343.000,1.010,978.747,0.020
2919.308,344.000,1.014,979.666,0.020
2917.359,345.000,1.017,979.012,0.020
2918.889,346.000,1.020,979.526,0.020
2923.255,347.000,1.024,980.991,0.020
2923.379,348.000,1.027,981.032,0.020
2922.219,349.000,1.030,980.643,0.020
2924.612,350.000,1.033,981.446,0.020
2930.644,351.000,1.037,983.471,0.020
2927.647,352.000,1.041,982.465,0.020
2930.262,353.000,1.044,983.342,0.021
2932.457,354.000,1.047,984.079,0.021
2937.564,355.000,1.051,985.793,0.021
2934.900,356.000,1.054,984.899,0.021
2935.640,357.000,1.057,985.147,0.021
2941.240,358.000,1.060,987.026,0.021
2940.105,359.000,1.064,986.646,0.021
2939.415,360.000,1.067,986.414,0.021
2943.017,361.000,1.070,987.623,0.021
2946.322,362.000,1.074,988.732,0.021
2943.535,363.000,1.077,987.796,0.021
2944.817,364.000,1.080,988.227,0.021
2947.630,365.000,1.083,989.171,0.021
2949.776,366.000,1.088,989.891,0.021
2948.395,367.000,1.091,989.427,0.021
2948.691,368.000,1.093,989.527,0.022
2953.674,369.000,1.097,991.199,0.022
2951.873,370.000,1.101,990.595,0.022
2952.638,371.000,1.104,990.851,0.022
2951.824,372.000,1.107,990.578,0.022
2959.003,373.000,1.111,992.987,0.022
2955.130,374.000,1.114,991.688,0.022
2957.622,375.000,1.117,992.524,0.022
2959.941,376.000,1.120,993.302,0.022
2962.260,377.000,1.124,994.080,0.022
2960.249,378.000,1.127,993.405,0.022
2961.433,379.000,1.130,993.803,0.022
2967.465,380.000,1.134,995.827,0.022
2964.702,381.000,1.138,994.900,0.022
2965.146,382.000,1.141,995.049,0.022
2965.862,383.000,1.144,995.289,0.023
2971.240,384.000,1.148,997.094,0.023
2967.021,385.000,1.151,995.678,0.023
2968.403,386.000,1.154,996.142,0.023
2970.845,387.000,1.157,996.961,0.023
2972.991,388.000,1.161,997.682,0.023
2970.833,389.000,1.164,996.957,0.023
2971.733,390.000,1.167,997.259,0.023
2978.345,391.000,1.170,999.478,0.023
2974.891,392.000,1.174,998.319,0.023
2976.125,393.000,1.177,998.733,0.023
2975.903,394.000,1.180,998.659,0.023
2981.256,395.000,1.184,1000.455,0.023
2977.654,396.000,1.187,999.246,0.023
2979.776,397.000,1.190,999.958,0.023
2982.909,398.000,1.193,1001.010,0.023
2984.870,399.000,1.198,1001.668,0.024
2982.934,400.000,1.201,1001.018,0.024
2983.970,401.000,1.203,1001.366,0.024
2989.619,402.000,1.207,1003.262,0.024
2987.498,403.000,1.211,1002.550,0.024
2987.054,404.000,1.214,1002.401,0.024
2987.646,405.000,1.217,1002.599,0.024
2992.999,406.000,1.221,1004.396,0.024
2986.992,407.000,1.224,1002.380,0.024
2988.633,408.000,1.227,1002.931,0.024
2994.406,409.000,1.230,1004.868,0.024
2993.690,410.000,1.234,1004.628,0.024
2991.827,411.000,1.237,1004.003,0.024
2990.902,412.000,1.240,1003.692,0.024
2998.550,413.000,1.244,1006.259,0.024
2995.664,414.000,1.247,1005.290,0.025
2997.008,415.000,1.250,1005.741,0.025
2997.193,416.000,1.253,1005.803,0.025
3003.608,417.000,1.257,1007.956,0.025
2998.859,418.000,1.260,1006.362,0.025
3000.179,419.000,1.263,1006.805,0.025
3001.461,420.000,1.267,1007.236,0.025
3003.953,421.000,1.271,1008.072,0.025
3001.831,422.000,1.274,1007.360,0.025
3002.128,423.000,1.277,1007.459,0.025
3008.641,424.000,1.281,1009.645,0.025
3003.669,425.000,1.284,1007.977,0.025
3004.706,426.000,1.287,1008.324,0.025
3006.025,427.000,1.290,1008.767,0.025
3009.751,428.000,1.294,1010.017,0.025
3005.359,429.000,1.297,1008.544,0.026
3006.988,430.000,1.300,1009.090,0.026
3011.724,431.000,1.304,1010.680,0.026
3011.724,432.000,1.308,1010.680,0.026
3008.863,433.000,1.310,1009.719,0.026
3010.392,434.000,1.313,1010.233,0.026
3016.251,435.000,1.317,1012.199,0.026
3013.476,436.000,1.321,1011.268,0.026
3014.364,437.000,1.324,1011.566,0.026
3013.377,438.000,1.326,1011.234,0.026
3018.065,439.000,1.331,1012.807,0.026
3014.191,440.000,1.334,1011.508,0.026
3015.721,441.000,1.337,1012.021,0.026
3019.792,442.000,1.340,1013.387,0.026
3019.915,443.000,1.344,1013.428,0.026
3016.659,444.000,1.347,1012.335,0.027
3018.410,445.000,1.350,1012.923,0.027
3023.196,446.000,1.354,1014.529,0.027
3019.989,447.000,1.357,1013.453,0.027
3021.297,448.000,1.360,1013.892,0.027
3022.900,449.000,1.363,1014.430,0.027
3026.033,450.000,1.368,1015.482,0.027
3021.309,451.000,1.371,1013.896,0.027
3022.987,452.000,1.374,1014.459,0.027
3026.453,453.000,1.377,1015.622,0.027
3025.515,454.000,1.381,1015.308,0.027
3023.172,455.000,1.384,1014.521,0.027
3024.084,456.000,1.387,1014.827,0.027
3028.476,457.000,1.390,1016.301,0.027
3024.356,458.000,1.394,1014.919,0.027
3024.479,459.000,1.397,1014.960,0.027
3025.121,460.000,1.400,1015.175,0.028
3028.204,461.000,1.404,1016.210,0.028
3024.146,462.000,1.407,1014.848,0.028
3024.047,463.000,1.410,1014.815,0.028
3028.402,464.000,1.413,1016.276,0.028
3024.109,465.000,1.418,1014.836,0.028
3019.853,466.000,1.420,1013.408,0.028
3010.738,467.000,1.423,1010.349,0.028
2940.278,468.000,1.427,986.704,0.028
-102.457,468.940,1.431,-34.383,0.028


