

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
             13      0.12E-02  0.52E+00  0.44E-04  0.98E+00
             14      0.12E-02  0.52E+00  0.44E-04  0.98E+00
             15      0.12E-02  0.52E+00  0.44E-04  0.98E+00
             16      0.12E-02  0.52E+00  0.44E-04  0.98E+00
             17      0.12E-02  0.52E+00  0.44E-04  0.98E+00
             18      0.12E-02  0.52E+00  0.44E-04  0.98E+00
             19      0.12E-02  0.52E+00  0.44E-04  0.98E+00
             20      0.12E-02  0.52E+00  0.45E-04  0.98E+00

     Power:  0.21358E+07


                         Increment number  14
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-02  0.60E+00  0.42E-04  0.98E+00
              2      0.12E-02  0.54E+00  0.54E-04  0.98E+00
              3      0.12E-02  0.54E+00  0.45E-04  0.98E+00
              4      0.12E-02  0.54E+00  0.45E-04  0.98E+00
              5      0.12E-02  0.54E+00  0.45E-04  0.98E+00
              6      0.12E-02  0.54E+00  0.45E-04  0.98E+00
              7      0.12E-02  0.54E+00  0.45E-04  0.98E+00
              8      0.12E-02  0.54E+00  0.45E-04  0.98E+00
              9      0.12E-02  0.54E+00  0.45E-04  0.98E+00
             10      0.12E-02  0.53E+00  0.45E-04  0.98E+00
             11      0.12E-02  0.53E+00  0.45E-04  0.98E+00
             12      0.12E-02  0.53E+00  0.45E-04  0.98E+00
             13      0.12E-02  0.53E+00  0.45E-04  0.98E+00
             14      0.12E-02  0.53E+00  0.45E-04  0.98E+00
             15      0.12E-02  0.53E+00  0.45E-04  0.98E+00
             16      0.12E-02  0.53E+00  0.45E-04  0.98E+00
             17      0.12E-02  0.53E+00  0.45E-04  0.98E+00
             18      0.12E-02  0.53E+00  0.45E-04  0.98E+00
             19      0.12E-02  0.53E+00  0.45E-04  0.98E+00
             20      0.12E-02  0.53E+00  0.45E-04  0.98E+00

     Power:  0.23015E+07


                         Increment number  15
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-02  0.60E+00  0.43E-04  0.98E+00
              2      0.12E-02  0.55E+00  0.55E-04  0.98E+00
              3      0.12E-02  0.55E+00  0.46E-04  0.98E+00
              4      0.12E-02  0.55E+00  0.46E-04  0.98E+00
              5      0.12E-02  0.54E+00  0.46E-04  0.98E+00
              6      0.12E-02  0.54E+00  0.46E-04  0.98E+00
              7      0.12E-02  0.54E+00  0.46E-04  0.98E+00
              8      0.12E-02  0.54E+00  0.46E-04  0.98E+00
              9      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             10      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             11      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             12      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             13      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             14      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             15      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             16      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             17      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             18      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             19      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             20      0.12E-02  0.54E+00  0.46E-04  0.98E+00

     Power:  0.24672E+07


                         Increment number  16
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-02  0.60E+00  0.43E-04  0.98E+00
              2      0.12E-02  0.55E+00  0.55E-04  0.98E+00
              3      0.12E-02  0.55E+00  0.47E-04  0.98E+00
              4      0.12E-02  0.54E+00  0.46E-04  0.98E+00
              5      0.12E-02  0.54E+00  0.46E-04  0.98E+00
              6      0.12E-02  0.54E+00  0.46E-04  0.98E+00
              7      0.12E-02  0.54E+00  0.46E-04  0.98E+00
              8      0.12E-02  0.54E+00  0.46E-04  0.98E+00
              9      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             10      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             11      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             12      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             13      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             14      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             15      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             16      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             17      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             18      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             19      0.12E-02  0.54E+00  0.46E-04  0.98E+00
             20      0.12E-02  0.54E+00  0.46E-04  0.98E+00

     Power:  0.26328E+07


                         Increment number  17
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-02  0.59E+00  0.44E-04  0.98E+00
              2      0.12E-02  0.54E+00  0.55E-04  0.98E+00
              3      0.12E-02  0.54E+00  0.47E-04  0.98E+00
              4      0.12E-02  0.54E+00  0.47E-04  0.98E+00
              5      0.12E-02  0.54E+00  0.46E-04  0.98E+00
              6      0.12E-02  0.53E+00  0.46E-04  0.98E+00
              7      0.12E-02  0.53E+00  0.46E-04  0.98E+00
              8      0.12E-02  0.53E+00  0.46E-04  0.98E+00
              9      0.12E-02  0.53E+00  0.47E-04  0.98E+00
             10      0.12E-02  0.53E+00  0.47E-04  0.98E+00
             11      0.12E-02  0.53E+00  0.47E-04  0.98E+00
             12      0.12E-02  0.53E+00  0.47E-04  0.98E+00
             13      0.12E-02  0.53E+00  0.47E-04  0.98E+00
             14      0.12E-02  0.53E+00  0.47E-04  0.98E+00
             15      0.12E-02  0.53E+00  0.47E-04  0.98E+00
             16      0.12E-02  0.53E+00  0.47E-04  0.98E+00
             17      0.12E-02  0.53E+00  0.47E-04  0.98E+00
             18      0.12E-02  0.53E+00  0.47E-04  0.98E+00
             19      0.12E-02  0.53E+00  0.47E-04  0.98E+00
