

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
              6      0.62E-02  0.62E-01  0.47E-03  0.89E+00
              7      0.60E-02  0.61E-01  0.45E-03  0.89E+00
              8      0.59E-02  0.59E-01  0.44E-03  0.89E+00
              9      0.57E-02  0.58E-01  0.42E-03  0.90E+00
             10      0.56E-02  0.57E-01  0.41E-03  0.90E+00
             11      0.55E-02  0.55E-01  0.40E-03  0.90E+00
             12      0.54E-02  0.54E-01  0.38E-03  0.90E+00
             13      0.53E-02  0.53E-01  0.37E-03  0.90E+00
             14      0.52E-02  0.52E-01  0.36E-03  0.91E+00
             15      0.51E-02  0.51E-01  0.35E-03  0.91E+00
             16      0.50E-02  0.50E-01  0.34E-03  0.91E+00
             17      0.49E-02  0.49E-01  0.32E-03  0.91E+00
             18      0.48E-02  0.48E-01  0.31E-03  0.91E+00
             19      0.48E-02  0.48E-01  0.31E-03  0.91E+00
             20      0.47E-02  0.47E-01  0.30E-03  0.91E+00

     Power:   215.88    


                         Increment number  11
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.56E-02  0.53E-01  0.26E-03  0.90E+00
              2      0.54E-02  0.50E-01  0.40E-03  0.90E+00
              3      0.53E-02  0.49E-01  0.38E-03  0.90E+00
              4      0.52E-02  0.48E-01  0.37E-03  0.91E+00
              5      0.51E-02  0.47E-01  0.36E-03  0.91E+00
              6      0.50E-02  0.46E-01  0.35E-03  0.91E+00
              7      0.49E-02  0.46E-01  0.34E-03  0.91E+00
              8      0.48E-02  0.45E-01  0.33E-03  0.91E+00
              9      0.47E-02  0.44E-01  0.32E-03  0.91E+00
             10      0.46E-02  0.44E-01  0.31E-03  0.92E+00
             11      0.45E-02  0.43E-01  0.30E-03  0.92E+00
             12      0.45E-02  0.43E-01  0.29E-03  0.92E+00
             13      0.44E-02  0.42E-01  0.28E-03  0.92E+00
             14      0.43E-02  0.42E-01  0.28E-03  0.92E+00
             15      0.43E-02  0.41E-01  0.27E-03  0.92E+00
             16      0.42E-02  0.41E-01  0.26E-03  0.92E+00
             17      0.42E-02  0.41E-01  0.26E-03  0.92E+00
             18      0.41E-02  0.40E-01  0.25E-03  0.92E+00
             19      0.41E-02  0.40E-01  0.25E-03  0.92E+00
             20      0.40E-02  0.40E-01  0.24E-03  0.93E+00

     Power:   237.43    


                         Increment number  12
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.44E-02  0.46E-01  0.22E-03  0.92E+00
              2      0.43E-02  0.42E-01  0.30E-03  0.92E+00
              3      0.42E-02  0.42E-01  0.28E-03  0.92E+00
              4      0.41E-02  0.41E-01  0.27E-03  0.92E+00
              5      0.41E-02  0.41E-01  0.26E-03  0.92E+00
              6      0.40E-02  0.40E-01  0.26E-03  0.93E+00
              7      0.40E-02  0.40E-01  0.25E-03  0.93E+00
              8      0.39E-02  0.40E-01  0.25E-03  0.93E+00
              9      0.39E-02  0.39E-01  0.24E-03  0.93E+00
             10      0.38E-02  0.39E-01  0.24E-03  0.93E+00
             11      0.38E-02  0.38E-01  0.23E-03  0.93E+00
             12      0.37E-02  0.38E-01  0.23E-03  0.93E+00
             13      0.37E-02  0.38E-01  0.22E-03  0.93E+00
             14      0.37E-02  0.38E-01  0.22E-03  0.93E+00
             15      0.36E-02  0.37E-01  0.22E-03  0.93E+00
             16      0.36E-02  0.37E-01  0.21E-03  0.93E+00
             17      0.36E-02  0.37E-01  0.21E-03  0.93E+00
             18      0.35E-02  0.37E-01  0.21E-03  0.93E+00
             19      0.35E-02  0.36E-01  0.21E-03  0.93E+00
             20      0.35E-02  0.36E-01  0.20E-03  0.93E+00

     Power:   259.02    


                         Increment number  13
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.37E-02  0.45E-01  0.19E-03  0.93E+00
              2      0.37E-02  0.39E-01  0.25E-03  0.93E+00
              3      0.36E-02  0.38E-01  0.24E-03  0.93E+00
              4      0.36E-02  0.38E-01  0.23E-03  0.93E+00
              5      0.36E-02  0.37E-01  0.23E-03  0.93E+00
              6      0.35E-02  0.37E-01  0.22E-03  0.93E+00
